5.500000000000000000e+01,2.970000000000000000e+02
5.600000000000000000e+01,8.180000000000000000e+02
5.700000000000000000e+01,8.180000000000000000e+02
6.000000000000000000e+01,5.450000000000000000e+02
6.200000000000000000e+01,1.000000000000000000e+01
5.100000000000000000e+01,8.370000000000000000e+02
6.500000000000000000e+01,1.269000000000000000e+03
7.100000000000000000e+01,4.310000000000000000e+02
4.800000000000000000e+01,2.562000000000000000e+03
3.800000000000000000e+01,2.940000000000000000e+02
4.500000000000000000e+01,5.970000000000000000e+02
3.700000000000000000e+01,1.961000000000000000e+03
4.200000000000000000e+01,2.765000000000000000e+03
3.900000000000000000e+01,4.500000000000000000e+01
7.700000000000000000e+01,1.050000000000000000e+02
7.400000000000000000e+01,1.400000000000000000e+02
7.800000000000000000e+01,1.400000000000000000e+02
8.100000000000000000e+01,1.449000000000000000e+03
8.200000000000000000e+01,2.813000000000000000e+03
7.900000000000000000e+01,1.202000000000000000e+03
8.000000000000000000e+01,7.210000000000000000e+02
3.800000000000000000e+01,1.170000000000000000e+03
